ID,Y1,Type,Deets,Details,Start,Stop,Strand,PCG_ORF
Ffra,4.3,tRNA,tRNA,trnY,7495,7560,,
Ffra,4.3,tRNA,tRNA,trnH,7628,7689,,
Ffra,4.3,tRNA,tRNA,trnS,7691,7758,,
Ffra,4.3,tRNA,tRNA,trnG,7758,7822,,
Ffra,4.3,tRNA,tRNA,trnC,7825,7894,,
Ffra,4.3,tRNA,tRNA,trnN,7923,7987,,
Ffra,4.3,tRNA,tRNA,trnS,8586,8668,,
Ffra,4.3,tRNA,tRNA,trnS,9165,9247,,
Ffra,4.3,tRNA,tRNA,trnS,9744,9826,,
Ffra,4.3,tRNA,tRNA,trnS,10323,10405,,
Ffra,4.3,tRNA,tRNA,trnS,10903,10985,,
Ffra,4.3,tRNA,tRNA,trnS,11482,11564,,
Ffra,4.3,tRNA,tRNA,trnS,12061,12143,,
Ffra,4.3,tRNA,tRNA,trnS,12640,12722,,
Ffra,4.3,tRNA,tRNA,trnS,13219,13301,,
Ffra,4.3,tRNA,tRNA,trnS,13798,13880,,
Ffra,4.3,tRNA,tRNA,trnS,14377,14459,,
Ffra,4.3,tRNA,tRNA,trnA,14718,14787,,
Ffra,4.3,tRNA,tRNA,trnM,16549,16616,,
Ffra,4.3,tRNA,tRNA,trnD,17424,17488,,
Ffra,4.3,tRNA,tRNA,trnH,17491,17562,,
Ffra,4.3,tRNA,tRNA,trnI,18450,18517,,
Ffra,4.3,tRNA,tRNA,trnP,18880,18944,,
Ffra,4.3,tRNA,tRNA,trnK,20635,20701,,
Ffra,4.3,tRNA,tRNA,trnW,20983,21048,,
Ffra,4.3,tRNA,tRNA,trnV,21060,21126,,
Ffra,4.3,tRNA,tRNA,trnQ,22075,22141,,
Ffra,4.3,tRNA,tRNA,trnR,22139,22206,,
Ffra,4.3,tRNA,tRNA,trnL,22205,22271,,
Ffra,4.3,tRNA,tRNA,trnL,22285,22352,,
Ffra,1,TE,ATLINE1_8_pol,LINE/L1,1044,1076,,
Ffra,1,TE,Copia-42_SB_gag,LTR/Copia,3876,3944,,
Ffra,1,TE,Gypsy-47_NV,LTR/Gypsy,3938,4069,,
Ffra,1,TE,Copia-70_BRa,LTR/Copia,4296,4385,,
Ffra,1,TE,CIN4E_ZM_pol,LINE/L1,4787,4861,,
Ffra,1,TE,BEL24_DR,LTR/Pao,5252,5302,,
Ffra,1,TE,Gypsy-16_NVi_ga,LTR/Gypsy,5980,6048,,
Ffra,1,TE,Copia-58_BRa,LTR/Copia,6070,6114,,
Ffra,1,TE,Gypsy116_DR,LTR/Gypsy,6521,6550,,
Ffra,1,TE,TnDirs1_pol,LTR/DIRS,6663,6758,,
Ffra,1,TE,Gypsy116_DR,LTR/Gypsy,7547,7615,,
Ffra,1,TE,Copia5_TP,LTR/Copia,8259,8351,,
Ffra,1,TE,Copia5_TP,LTR/Copia,8838,8930,,
Ffra,1,TE,Copia5_TP,LTR/Copia,9417,9509,,
Ffra,1,TE,Copia5_TP,LTR/Copia,9996,10088,,
Ffra,1,TE,Copia5_TP,LTR/Copia,11155,11247,,
Ffra,1,TE,Copia5_TP,LTR/Copia,11734,11826,,
Ffra,1,TE,Copia5_TP,LTR/Copia,12313,12405,,
Ffra,1,TE,Copia5_TP,LTR/Copia,12892,12984,,
Ffra,1,TE,Copia5_TP,LTR/Copia,13471,13563,,
Ffra,1,TE,Copia5_TP,LTR/Copia,14050,14142,,
Ffra,1,TE,Transib-9_HM,DNA/CMC-Transib,14666,14719,,
Ffra,1,TE,Polinton-1_XT_p,DNA/Maverick,17320,17385,,
Ffra,1,TE,Copia-40_BRa,LTR/Copia,19654,19734,,
Ffra,1,TE,Gypsy-18_ST,LTR/Gypsy,20913,21032,,
Ffra,1,TE,MAG_pol,LTR/Gypsy,20970,21050,,
Ffra,1,TE,Gyp2_Cis_pol,LTR/Gypsy,21046,21096,,
Ffra,1,TE,Gypsy_MT_gag,LTR/Gypsy,21058,21153,,
Ffra,1,TE,Jockey_Ele10_po,LINE/Jockey,22135,22200,,
Ffra,1,TE,MuDR3_SM,DNA/MuLE-MuDR,1322,1245,,
Ffra,1,TE,CR1-18_HM_pol,LINE/L2,1349,1272,,
Ffra,1,TE,SFVO_pol,LTR/Foamy,2984,2922,,
Ffra,1,TE,Jockey-3_DEu_po,LINE/Jockey,4017,3916,,
Ffra,1,TE,Isabelle_TM_pol,LINE/L1,4032,3952,,
Ffra,1,TE,Copia-126_SB,LTR/Copia,4792,4688,,
Ffra,1,TE,Copia-35_BRa,LTR/Copia,6136,6095,,
Ffra,1,TE,Gypsy-9_DMoj_ga,LTR/Gypsy,6419,6354,,
Ffra,1,TE,DM297_env,LTR/Gypsy,11219,11133,,
Ffra,1,TE,DM297_env,LTR/Gypsy,11798,11712,,
Ffra,1,TE,DM297_env,LTR/Gypsy,12377,12291,,
Ffra,1,TE,DM297_env,LTR/Gypsy,12956,12870,,
Ffra,1,TE,DM297_env,LTR/Gypsy,13535,13449,,
Ffra,1,TE,DM297_env,LTR/Gypsy,14114,14028,,
Ffra,1,TE,DM297_env,LTR/Gypsy,14693,14607,,
Ffra,1,TE,BNR1,LINE/L1,15587,15501,,
Ffra,1,TE,Helmet4_hel,RC/Helitron,15630,15556,,
Ffra,1,TE,Tc1-3Ory_tp,DNA/TcMar-Tc1,16886,16827,,
Ffra,2,ORF,ORF127,ORF127,768,1094,,
Ffra,2,ORF,ORF136,ORF136,3810,3986,,
Ffra,2,ORF,ORF7,ORF7,3973,4068,,
Ffra,2,ORF,ORF137,ORF137,4149,4466,,
Ffra,2,ORF,ORF9,ORF9,4261,4353,,
Ffra,2,ORF,ORF138,ORF138,4731,4862,,
Ffra,2,ORF,ORF13,ORF13,5236,5370,,
Ffra,2,ORF,ORF15,ORF15,5929,6123,,
Ffra,2,ORF,ORF81,ORF81,6029,6139,,
Ffra,2,ORF,ORF82,ORF82,6452,6649,,
Ffra,2,ORF,ORF17,ORF17,6616,6717,,
Ffra,2,ORF,ORF18,ORF18,6718,6846,,
Ffra,2,ORF,ORF86,ORF86,7430,7642,,
Ffra,2,ORF,ORF147,ORF147,8265,8369,,
Ffra,2,ORF,ORF150,ORF150,8844,8948,,
Ffra,2,ORF,ORF153,ORF153,9423,9527,,
Ffra,2,ORF,ORF26,ORF26,9964,10083,,
Ffra,2,ORF,ORF156,ORF156,10002,10106,,
Ffra,2,ORF,ORF31,ORF31,11161,11265,,
Ffra,2,ORF,ORF96,ORF96,11702,11821,,
Ffra,2,ORF,ORF34,ORF34,11740,11844,,
Ffra,2,ORF,ORF37,ORF37,12319,12423,,
Ffra,2,ORF,ORF40,ORF40,12898,13002,,
Ffra,2,ORF,ORF100,ORF100,13439,13558,,
Ffra,2,ORF,ORF43,ORF43,13477,13581,,
Ffra,2,ORF,ORF102,ORF102,14018,14137,,
Ffra,2,ORF,ORF46,ORF46,14056,14160,,
Ffra,2,ORF,ORF49,ORF49,14635,14733,,
Ffra,2,ORF,ORF104,ORF104,14675,14809,,
Ffra,2,ORF,ORF63,ORF63,18643,18849,,
Ffra,2,ORF,ORF177,ORF177,18759,18863,,
Ffra,2,ORF,ORF180,ORF180,19635,19910,,
Ffra,2,ORF,ORF184,ORF184,20703,21080,,
Ffra,2,ORF,ORF65,ORF65,20884,20997,,
Ffra,2,ORF,ORF188,ORF188,22041,22184,,
Ffra,2,ORF,ORF67,ORF67,22084,22206,,
Ffra,2,ORF,ORF364,ORF364,1409,987,,
Ffra,2,ORF,ORF239,ORF239,2965,2630,,
Ffra,2,ORF,ORF307,ORF307,2982,2842,,
Ffra,2,ORF,ORF360,ORF360,3080,2838,,
Ffra,2,ORF,ORF236,ORF236,3970,3803,,
Ffra,2,ORF,ORF302,ORF302,4026,3889,,
Ffra,2,ORF,ORF232,ORF232,4786,4682,,
Ffra,2,ORF,ORF226,ORF226,6217,6008,,
Ffra,2,ORF,ORF293,ORF293,6417,6322,,
Ffra,2,ORF,ORF282,ORF282,11202,11119,,
Ffra,2,ORF,ORF338,ORF338,11447,11148,,
Ffra,2,ORF,ORF280,ORF280,11781,11698,,
Ffra,2,ORF,ORF337,ORF337,12026,11727,,
Ffra,2,ORF,ORF278,ORF278,12360,12277,,
Ffra,2,ORF,ORF336,ORF336,12605,12306,,
Ffra,2,ORF,ORF276,ORF276,12939,12856,,
Ffra,2,ORF,ORF335,ORF335,13184,12885,,
Ffra,2,ORF,ORF274,ORF274,13518,13435,,
Ffra,2,ORF,ORF334,ORF334,13763,13464,,
Ffra,2,ORF,ORF272,ORF272,14097,14014,,
Ffra,2,ORF,ORF333,ORF333,14342,14043,,
Ffra,2,ORF,ORF270,ORF270,14676,14593,,
Ffra,2,ORF,ORF266,ORF266,15666,15379,,
Ffra,2,ORF,ORF329,ORF329,16862,16773,,
